testType,structType,k,N,D,distribution,timing,trial
k,bucket,1,1000,2,G,12039276,1
k,bucket,5,1000,2,G,12085855,1
k,bucket,10,1000,2,G,13068785,1
k,bucket,20,1000,2,G,11531875,1
d,bucket,10,1000,1,G,5276956,1
d,bucket,10,1000,2,G,11528032,1
d,bucket,10,1000,3,G,13296328,1
d,bucket,10,1000,4,G,15130610,1
d,bucket,10,1000,5,G,16330250,1
d,bucket,10,1000,6,G,17081889,1
d,bucket,10,1000,7,G,18215293,1
n,bucket,10,100,2,G,9776,1
n,bucket,10,1000,2,G,1236357,1
n,bucket,10,5000,2,G,34428870,1
n,bucket,10,10000,2,G,147855553,1
kn,bucket,1,100,2,G,10229,1
kn,bucket,5,1000,2,G,1209216,1
kn,bucket,10,5000,2,G,33323345,1
kn,bucket,20,10000,2,G,147366368,1
k,bucket,1,1000,2,U,3450586,1
k,bucket,5,1000,2,U,3616422,1
k,bucket,10,1000,2,U,3395740,1
k,bucket,20,1000,2,U,3514976,1
d,bucket,25,1000,1,U,1674241,1
d,bucket,25,1000,2,U,3248799,1
d,bucket,25,1000,3,U,3801678,1
d,bucket,25,1000,4,U,11758490,1
d,bucket,25,1000,5,U,10544741,1
d,bucket,25,1000,6,U,8921510,1
d,bucket,25,1000,7,U,7030952,1
n,bucket,10,100,2,U,925,1
n,bucket,10,1000,2,U,297080,1
n,bucket,10,5000,2,U,9890733,1
n,bucket,10,10000,2,U,38599720,1
kn,bucket,1,100,2,U,1248,1
kn,bucket,5,1000,2,U,353171,1
kn,bucket,10,5000,2,U,9026139,1
kn,bucket,20,10000,2,U,38921127,1
kn,quadTree,1,100,2,U,895,1
kn,quadTree,1,100,2,G,575,1
kn,quadTree,5,1000,2,U,39563,1
kn,quadTree,5,1000,2,G,19587,1
kn,quadTree,10,5000,2,U,521806,1
kn,quadTree,10,5000,2,G,409975,1
kn,quadTree,20,10000,2,U,2143793,1
kn,quadTree,20,10000,2,G,1597995,1
n,quadTree,10,100,2,U,412,1
