testType,structType,k,N,D,distribution,timing,trial
k,bucket,1,1000,2,G,1028674,1
k,bucket,1,1000,2,G,992180,2
k,bucket,1,1000,2,G,1061292,3
k,bucket,5,1000,2,G,1118341,1
k,bucket,5,1000,2,G,1057855,2
k,bucket,5,1000,2,G,1050215,3
k,bucket,10,1000,2,G,995933,1
k,bucket,10,1000,2,G,1051126,2
k,bucket,10,1000,2,G,1068927,3
k,bucket,20,1000,2,G,1042035,1
k,bucket,20,1000,2,G,978229,2
k,bucket,20,1000,2,G,1028575,3
k,bucket,25,1000,2,G,1051275,1
k,bucket,25,1000,2,G,1038960,2
k,bucket,25,1000,2,G,994285,3
d,bucket,10,1000,1,G,504871,1
d,bucket,10,1000,1,G,494464,2
d,bucket,10,1000,1,G,490005,3
d,bucket,10,1000,2,G,1044192,1
d,bucket,10,1000,2,G,980062,2
d,bucket,10,1000,2,G,959294,3
d,bucket,10,1000,3,G,1066708,1
d,bucket,10,1000,3,G,1065764,2
d,bucket,10,1000,3,G,1081152,3
d,bucket,10,1000,4,G,1073139,1
d,bucket,10,1000,4,G,1077622,2
d,bucket,10,1000,4,G,1082811,3
d,bucket,10,1000,5,G,1151722,1
d,bucket,10,1000,5,G,1153678,2
d,bucket,10,1000,5,G,1157543,3
d,bucket,10,1000,6,G,1168672,1
d,bucket,10,1000,6,G,1171988,2
d,bucket,10,1000,6,G,1171656,3
d,bucket,10,1000,7,G,1230428,1
d,bucket,10,1000,7,G,1227905,2
d,bucket,10,1000,7,G,1227022,3
n,bucket,10,100,2,G,789,1
n,bucket,10,100,2,G,681,2
n,bucket,10,100,2,G,918,3
n,bucket,10,1000,2,G,100448,1
n,bucket,10,1000,2,G,112222,2
n,bucket,10,1000,2,G,102610,3
n,bucket,10,5000,2,G,3244489,1
n,bucket,10,5000,2,G,3236502,2
n,bucket,10,5000,2,G,3165780,3
n,bucket,10,10000,2,G,13696172,1
n,bucket,10,10000,2,G,13403200,2
n,bucket,10,10000,2,G,13533939,3
n,bucket,10,20000,2,G,57608317,1
n,bucket,10,20000,2,G,57420477,2
n,bucket,10,20000,2,G,56202048,3
kn,bucket,1,100,2,G,758,1
kn,bucket,1,100,2,G,658,2
kn,bucket,1,100,2,G,593,3
kn,bucket,5,1000,2,G,106186,1
kn,bucket,5,1000,2,G,96145,2
kn,bucket,5,1000,2,G,104319,3
kn,bucket,10,5000,2,G,3231082,1
kn,bucket,10,5000,2,G,3350676,2
kn,bucket,10,5000,2,G,3189437,3
kn,bucket,20,10000,2,G,13774278,1
kn,bucket,20,10000,2,G,13732799,2
kn,bucket,20,10000,2,G,13348183,3
kn,bucket,25,20000,2,G,57229335,1
kn,bucket,25,20000,2,G,58237210,2
kn,bucket,25,20000,2,G,60386322,3
k,bucket,1,1000,2,U,305055,1
k,bucket,1,1000,2,U,299232,2
k,bucket,1,1000,2,U,292660,3
k,bucket,5,1000,2,U,308025,1
k,bucket,5,1000,2,U,315062,2
k,bucket,5,1000,2,U,302624,3
